plant_short,emissions_t_best_fit
Suralaya,31657.955099390685
Jawa_7,15461.104761471714
Cirebon,9471.014145541838
Cilacap,20163.890443518518
Labuan,5605.466852291435
Lontar,6913.329537897875
Muara_Karang,0
Indramayu,5778.289581636752
Pelabuhan_Ratu,9406.434101447958
DSS_Serang,1920.19430426087
Cikarang_Babelan,3341.0497725752957
FAJAR,603.4896384819876
Pindo_Deli_Ii,548.6269440745341
Purwakarta_Indorama,658.352332889441
